ip,date_time,request,step,session,user_id
c210-49-32-6.rochd2.,18/Apr/2005:21:25:07,/,1,3,3
visp.inabox.telstra.,19/Apr/2005:08:24:28,/,1,12,12
dsl-61-95-54-84.requ,19/Apr/2005:08:33:01,/,1,13,13
d220-236-91-52.dsl.n,19/Apr/2005:09:16:06,/,1,15,15
allptrs.eq.edu.au,19/Apr/2005:09:47:54,/,1,22,22
cpe-144-136-135-38.q,19/Apr/2005:10:13:37,/,1,23,23
225-145-222-203.rev.,19/Apr/2005:11:48:32,/,1,25,25
cpe-138-130-198-54.q,19/Apr/2005:12:31:54,/,1,26,26
203-219-44-170-qld.t,19/Apr/2005:12:33:49,/,1,29,29
cpe-138-130-198-54.q,19/Apr/2005:12:42:51,/,1,30,30
cpe-144-136-135-38.q,19/Apr/2005:13:25:52,/,1,36,36
cpe-138-130-247-7.ql,19/Apr/2005:13:54:06,/,1,38,38
cpe-144-137-164-66.q,19/Apr/2005:15:31:13,/,1,40,40
225-145-222-203.rev.,19/Apr/2005:16:35:38,/,1,44,44
60-240-178-28.tpgi.c,19/Apr/2005:16:36:30,/,1,45,45
202-47-51-61.dialup.,19/Apr/2005:17:26:44,/,1,48,48
203.166.253.33,19/Apr/2005:18:36:47,/,1,54,54
acc26-ppp823.hay.dia,19/Apr/2005:18:53:44,/,1,55,55
d220-237-196-66.dsl.,19/Apr/2005:22:58:55,/,1,60,60
cpe-60-231-60-67.qld,19/Apr/2005:23:02:30,/,1,61,61
202.138.16.8,20/Apr/2005:02:59:24,/,1,68,68
202.138.16.8,20/Apr/2005:03:06:13,/,2,68,68
lj2521.inktomisearch,20/Apr/2005:04:24:10,/,1,71,71
crawl-66-249-71-73.g,20/Apr/2005:04:49:10,/,2,81,81
202.47.46.142,20/Apr/2005:08:13:30,/,1,90,90
bri-pr3.tpgi.com.au,20/Apr/2005:09:44:22,/,1,92,92
sydney.global.net.au,20/Apr/2005:10:11:04,/,1,93,93
203-219-82-162-qld.t,20/Apr/2005:10:24:22,/,1,94,94
203.94.143.227,20/Apr/2005:11:52:33,/,1,102,102
202-124-38-217.adsl.,20/Apr/2005:12:51:03,/,1,103,103
cpe-147-10-80-62.qld,20/Apr/2005:13:21:28,/,1,104,104
202.139.104.145,20/Apr/2005:13:59:34,/,1,105,105
d211-31-169-38.dsl.n,20/Apr/2005:15:40:35,/,1,109,109
calamari.tss.qld.edu,20/Apr/2005:19:19:49,/,1,111,111
cpe-60-231-60-67.qld,20/Apr/2005:20:41:21,/,1,112,112
c210-49-61-179.rochd,21/Apr/2005:09:16:55,/,1,116,116
cwpp-p-203-54-206-52,21/Apr/2005:10:37:37,/,1,119,119
proxy1.uq.edu.au,21/Apr/2005:10:37:48,/,1,120,120
smtp.virginblue.com.,21/Apr/2005:11:46:17,/,1,121,121
cpe-138-130-255-82.q,21/Apr/2005:13:13:35,/,1,125,125
61.88.19.82,21/Apr/2005:13:32:46,/,1,127,127
dsl-202-173-188-134.,21/Apr/2005:14:27:53,/,1,131,131
server.saros.com.au,21/Apr/2005:14:47:18,/,1,132,132
202.125.0.6,21/Apr/2005:16:15:34,/,1,138,138
202.72.148.102,21/Apr/2005:16:38:27,/,1,139,139
d220-236-149-183.dsl,21/Apr/2005:16:41:47,/,1,140,140
221.148.44.84,21/Apr/2005:19:58:16,/,1,145,145
203-206-18-174.dyn.i,21/Apr/2005:20:49:56,/,1,146,146
099.a.001.brs.iprimu,21/Apr/2005:22:13:16,/,1,149,149
099.a.001.brs.iprimu,21/Apr/2005:22:27:09,/,3,149,149
c220-237-72-127.kelv,21/Apr/2005:22:33:40,/,1,150,150
msnbot.msn.com,21/Apr/2005:23:28:08,/,3,151,151
114.a.001.brs.iprimu,21/Apr/2005:23:41:05,/,1,152,152
proxy8-8.adl2.intern,22/Apr/2005:03:15:43,/,1,155,155
211.27.164.158,22/Apr/2005:07:46:44,/,1,157,157
66-194-6-78.gen.twte,22/Apr/2005:08:56:34,/,1,168,168
210-0-71-149.nexnet.,22/Apr/2005:10:13:30,/,1,169,169
210-0-71-145.nexnet.,22/Apr/2005:11:14:30,/,1,171,171
210-0-71-149.nexnet.,22/Apr/2005:11:18:54,/,1,172,172
210-0-71-145.nexnet.,22/Apr/2005:11:23:58,/,14,177,177
210-0-71-149.nexnet.,22/Apr/2005:11:24:47,/,3,178,178
qld-210-211-65-169.d,22/Apr/2005:13:19:24,/,1,186,186
210-0-71-141.nexnet.,22/Apr/2005:13:53:13,/,1,187,187
210-0-71-141.nexnet.,22/Apr/2005:13:56:24,/,9,187,187
smtp.virginblue.com.,22/Apr/2005:16:26:55,/,1,190,190
sou-ts2-2600.tpgi.co,22/Apr/2005:21:21:22,/,1,194,194
wopr-p-144-134-23-15,22/Apr/2005:23:54:35,/,1,196,196
wopr-p-144-134-23-15,23/Apr/2005:00:03:34,/,1,197,197
cpe-203-45-149-96.ql,23/Apr/2005:08:31:37,/,1,216,216
66-194-6-75.gen.twte,23/Apr/2005:08:43:18,/,1,217,217
cor6-ppp1753.for.dsl,23/Apr/2005:09:31:59,/,1,219,219
210-0-71-141.nexnet.,23/Apr/2005:12:59:08,/,1,222,222
210-0-71-141.nexnet.,23/Apr/2005:13:08:06,/,19,222,222
cust1705.qld01.datac,23/Apr/2005:19:32:51,/,1,225,225
d220-237-199-183.dsl,23/Apr/2005:20:38:12,/,1,226,226
lj2521.inktomisearch,23/Apr/2005:22:24:08,/,1,228,228
144.133.222.196,24/Apr/2005:09:59:37,/,1,239,239
c220-237-90-93.ipswc,24/Apr/2005:14:00:54,/,1,242,242
209.167.50.22,24/Apr/2005:15:01:57,/,2,245,245
crawl-66-249-66-132.,24/Apr/2005:16:49:45,/,2,246,246
203.49.136.112,24/Apr/2005:18:04:44,/,1,249,249
d220-236-196-100.dsl,24/Apr/2005:21:45:47,/,1,255,255
cpe-147-10-85-104.ql,25/Apr/2005:11:28:42,/,1,260,260
203-206-20-111.dyn.i,25/Apr/2005:12:39:45,/,1,262,262
cpe-138-130-204-26.q,25/Apr/2005:15:49:24,/,1,264,264
220-244-146-94-qld.t,25/Apr/2005:19:02:18,/,1,265,265
c211-28-178-170.ebur,25/Apr/2005:19:53:04,/,1,266,266
nc2.akl.callplus.net,25/Apr/2005:20:01:26,/,1,267,267
syd-nxg-pr1.tpgi.com,25/Apr/2005:22:21:21,/,1,268,268
cpe-60-226-86-137.ql,25/Apr/2005:23:35:57,/,1,269,269
spooky.scu.edu.au,26/Apr/2005:09:17:53,/,1,292,292
vantage.fxa.com.au,26/Apr/2005:09:28:45,/,1,295,295
d220-236-126-247.dsl,26/Apr/2005:11:04:53,/,1,301,301
210-0-71-149.nexnet.,26/Apr/2005:13:06:22,/,1,302,302
d211-31-174-186.dsl.,26/Apr/2005:14:54:19,/,1,304,304
d211-31-174-186.dsl.,26/Apr/2005:14:58:41,/,5,304,304
cpe-144-137-149-167.,26/Apr/2005:16:01:47,/,1,307,307
cpe-144-137-149-167.,26/Apr/2005:16:03:46,/,11,307,307
cpe-203-45-155-87.ql,26/Apr/2005:16:14:19,/,1,308,308
cpe-144-137-136-105.,26/Apr/2005:16:30:24,/,1,309,309
66-194-6-75.gen.twte,26/Apr/2005:21:15:21,/,1,314,314
203-206-239-109.dyn.,26/Apr/2005:21:28:22,/,1,319,319
cpe-203-51-201-49.ql,26/Apr/2005:22:57:54,/,1,321,321
220-253-109-159.vic.,27/Apr/2005:00:47:33,/,1,324,324
cpe-147-10-80-62.qld,27/Apr/2005:06:37:37,/,1,338,338
ce1-mel.netspace.net,27/Apr/2005:07:53:18,/,2,340,340
cpe-143-238-139-88.q,27/Apr/2005:09:06:05,/,1,341,341
cpe-60-226-29-232.ql,27/Apr/2005:10:30:18,/,1,345,345
